userId,movieId,rating,timestamp
1,1,2.5,1523921187
1,2,3,1523921187
1,3,3,1523921187
1,4,2,1523921187
1,5,4,1523921187
1,6,2,1523921187
1,7,2,1523921187
1,8,2,1523921187
1,9,3.5,1523921187
1,10,2,1523921187
1,11,2.5,1523921187
1,12,1,1523921187
1,13,4,1523921187
1,14,4,1523921187
1,1029,3,1260759179
1,1061,3,1260759182
1,1129,2,1260759185
1,1172,4,1260759205
1,1263,2,1260759151
1,1287,2,1260759187
1,1293,2,1260759148
1,1339,3.5,1260759125
1,1343,2,1260759131
1,1371,2.5,1260759135
1,1405,1,1260759203
1,1953,4,1260759191
1,2105,4,1260759139
1,2150,3,1260759194
1,2193,2,1260759198
1,2294,2,1260759108
1,2455,2.5,1260759113
1,2968,1,1260759200
2,2163,5,1523921187
2,2539,4,1523921187
2,2347,4,1523921187
2,2348,4.5,1523921187
2,20,3,1523921187
2,12,1.5,1523921187
2,110,4,835355532
2,144,3,835356016
2,150,5,835355395
2,153,4,835355441
2,161,3,835355493
2,165,3,835355441
2,168,3,835355710
2,185,3,835355511
2,186,3,835355664
2,208,3,835355511
2,222,5,835355840
2,223,1,835355749
2,225,3,835355552
2,235,3,835355664
2,248,3,835355896
2,253,4,835355511
2,261,4,835355681
2,265,5,835355697
2,266,5,835355586
2,272,3,835355767
3,71,4,1523921187
3,69,3,1523921187
3,426,5,1523921187
3,464,4.5,1523921187
3,318,5,1298862121
3,355,2.5,1298861589
3,356,5,1298862167
3,377,2.5,1298923242
3,527,3,1298862528
3,588,3,1298922100
3,592,3,1298923247
3,593,3,1298921840
3,595,2,1298923260
3,736,3.5,1298932787
3,778,4,1298863157
3,866,3,1298861687
3,1197,5,1298932770
3,1210,3,1298921795
3,1235,4,1298861628
3,1271,3,1298861605
3,1378,4,1298861658
3,1580,3.5,1298922089
3,1721,4.5,1298923236
3,1884,4,1298863143
3,2028,4,1298921862
3,2318,4,1298861753
3,2513,3,1298861789
3,2694,3,1298862710
3,2702,3.5,1298861796
3,2716,3,1298924017
3,2762,3.5,1298922057
3,2841,4,1298861733
3,2858,4,1298921825
3,2959,5,1298862874
4,570,3,1298862874
5,329,2,1298862874
